Exponent	Iterative	Recursive
0	3.09944e-06	9.53674e-07
1	1.90735e-06	0
2	9.53674e-07	9.53674e-07
3	9.53674e-07	1.19209e-06
4	2.14577e-06	9.53674e-07
5	1.19209e-06	9.53674e-07
6	1.90735e-06	9.53674e-07
7	1.90735e-06	1.90735e-06
8	1.90735e-06	2.14577e-06
9	1.19209e-06	4.05312e-06
10	2.14577e-06	1.90735e-06
11	1.90735e-06	3.09944e-06
12	1.90735e-06	3.09944e-06
13	1.90735e-06	3.09944e-06
14	2.14577e-06	2.86102e-06
15	1.90735e-06	3.09944e-06
16	2.14577e-06	4.05312e-06
17	3.09944e-06	4.05312e-06
18	2.14577e-06	5.96046e-06
19	3.09944e-06	4.05312e-06
20	3.09944e-06	5.00679e-06
21	2.14577e-06	5.00679e-06
22	3.09944e-06	5.00679e-06
23	3.09944e-06	5.00679e-06
24	2.86102e-06	5.00679e-06
25	1.90735e-06	6.19888e-06
26	3.09944e-06	6.91414e-06
27	2.86102e-06	6.19888e-06
28	3.09944e-06	6.91414e-06
29	2.86102e-06	5.96046e-06
30	3.09944e-06	5.96046e-06
31	2.86102e-06	7.15256e-06
32	3.09944e-06	7.86781e-06
33	3.09944e-06	7.86781e-06
34	2.86102e-06	8.10623e-06
35	3.09944e-06	1.00136e-05
36	3.8147e-06	8.10623e-06
37	4.05312e-06	8.10623e-06
38	2.86102e-06	9.05991e-06
39	3.09944e-06	9.05991e-06
40	3.8147e-06	9.05991e-06
41	4.05312e-06	1.00136e-05
42	4.05312e-06	1.00136e-05
43	5.00679e-06	1.3113e-05
44	5.00679e-06	1.09673e-05
45	4.05312e-06	1.09673e-05
46	4.05312e-06	1.09673e-05
47	3.8147e-06	1.21593e-05
48	5.00679e-06	1.21593e-05
49	5.00679e-06	1.21593e-05
50	5.00679e-06	1.3113e-05
51	5.00679e-06	1.3113e-05
52	7.15256e-06	1.28746e-05
53	5.00679e-06	1.3113e-05
54	5.00679e-06	2.00272e-05
55	5.96046e-06	1.40667e-05
56	5.00679e-06	1.38283e-05
57	5.00679e-06	1.50204e-05
58	5.96046e-06	1.50204e-05
59	5.96046e-06	1.50204e-05
60	8.10623e-06	1.50204e-05
61	6.19888e-06	1.5974e-05
62	7.15256e-06	1.5974e-05
63	5.96046e-06	1.5974e-05
64	7.15256e-06	1.5974e-05
65	7.15256e-06	1.69277e-05
66	6.91414e-06	1.69277e-05
67	6.91414e-06	1.71661e-05
68	7.15256e-06	1.78814e-05
69	9.05991e-06	1.78814e-05
70	6.91414e-06	1.81198e-05
71	7.15256e-06	1.78814e-05
72	8.10623e-06	1.88351e-05
73	7.86781e-06	1.90735e-05
74	7.86781e-06	1.90735e-05
75	7.86781e-06	2.00272e-05
76	7.86781e-06	1.90735e-05
77	9.05991e-06	2.09808e-05
78	9.05991e-06	2.09808e-05
79	7.86781e-06	2.09808e-05
80	8.10623e-06	2.09808e-05
81	8.10623e-06	2.09808e-05
82	9.05991e-06	2.19345e-05
83	9.05991e-06	2.19345e-05
84	8.10623e-06	2.19345e-05
85	9.05991e-06	2.28882e-05
86	1.09673e-05	2.28882e-05
87	9.05991e-06	0.000211
88	1.19209e-05	2.90871e-05
89	9.05991e-06	2.31266e-05
90	1.00136e-05	2.40803e-05
91	1.00136e-05	2.5034e-05
92	1.00136e-05	2.5034e-05
93	1.00136e-05	2.5034e-05
94	1.19209e-05	2.5034e-05
95	1.09673e-05	2.59876e-05
96	1.00136e-05	2.5034e-05
97	1.00136e-05	2.71797e-05
98	1.09673e-05	2.59876e-05
99	1.00136e-05	2.59876e-05
100	1.09673e-05	2.69413e-05
101	1.09673e-05	2.81334e-05
102	1.81198e-05	2.88486e-05
103	1.21593e-05	2.7895e-05
104	1.19209e-05	2.90871e-05
105	1.21593e-05	2.88486e-05
106	1.19209e-05	2.90871e-05
107	1.21593e-05	3.29018e-05
108	1.28746e-05	0.000149012
109	1.69277e-05	3.40939e-05
110	1.3113e-05	3.00407e-05
111	1.50204e-05	3.09944e-05
112	1.3113e-05	3.09944e-05
113	1.3113e-05	3.09944e-05
114	1.28746e-05	3.09944e-05
115	1.28746e-05	3.21865e-05
116	1.3113e-05	3.19481e-05
117	1.28746e-05	3.21865e-05
118	1.3113e-05	3.19481e-05
119	1.50204e-05	3.29018e-05
120	1.3113e-05	3.29018e-05
121	1.3113e-05	3.38554e-05
122	1.38283e-05	3.40939e-05
123	1.28746e-05	3.29018e-05
124	1.38283e-05	3.50475e-05
125	2.69413e-05	3.69549e-05
126	1.50204e-05	3.88622e-05
127	1.40667e-05	3.60012e-05
128	1.5974e-05	3.50475e-05
129	1.50204e-05	3.60012e-05
130	1.50204e-05	3.60012e-05
131	1.50204e-05	3.60012e-05
132	1.50204e-05	3.60012e-05
133	1.50204e-05	3.69549e-05
134	1.5974e-05	3.69549e-05
135	1.5974e-05	3.69549e-05
136	1.69277e-05	3.8147e-05
137	1.5974e-05	3.79086e-05
138	1.5974e-05	3.88622e-05
139	1.5974e-05	3.91006e-05
140	1.5974e-05	3.88622e-05
141	1.5974e-05	3.88622e-05
142	2.19345e-05	4.00543e-05
143	1.5974e-05	4.00543e-05
144	1.81198e-05	4.00543e-05
145	1.69277e-05	4.1008e-05
146	1.69277e-05	4.1008e-05
147	1.69277e-05	4.1008e-05
148	1.69277e-05	4.19617e-05
149	1.69277e-05	4.19617e-05
150	1.69277e-05	4.19617e-05
151	1.90735e-05	4.29153e-05
152	1.78814e-05	4.29153e-05
153	2.00272e-05	4.41074e-05
154	1.81198e-05	4.29153e-05
155	1.81198e-05	4.29153e-05
156	1.81198e-05	4.3869e-05
157	1.81198e-05	5.19753e-05
158	1.88351e-05	4.50611e-05
159	1.88351e-05	4.50611e-05
160	1.90735e-05	4.48227e-05
161	2.09808e-05	4.48227e-05
162	1.90735e-05	4.50611e-05
163	1.90735e-05	4.57764e-05
164	1.90735e-05	4.60148e-05
165	1.90735e-05	4.69685e-05
166	1.90735e-05	4.69685e-05
167	2.00272e-05	4.69685e-05
168	2.00272e-05	4.69685e-05
169	1.90735e-05	4.79221e-05
170	2.47955e-05	4.91142e-05
171	2.00272e-05	5.19753e-05
172	2.69413e-05	5.81741e-05
173	2.5034e-05	5.38826e-05
174	2.09808e-05	4.91142e-05
175	2.00272e-05	4.98295e-05
176	2.00272e-05	5.00679e-05
177	2.00272e-05	5.00679e-05
178	2.28882e-05	5.10216e-05
179	2.09808e-05	5.10216e-05
180	2.09808e-05	5.10216e-05
181	2.09808e-05	5.19753e-05
182	2.09808e-05	5.4121e-05
183	2.19345e-05	5.19753e-05
184	2.81334e-05	5.29289e-05
185	2.19345e-05	5.31673e-05
186	2.47955e-05	5.31673e-05
187	2.19345e-05	5.6982e-05
188	2.31266e-05	5.60284e-05
189	2.28882e-05	5.6982e-05
190	2.21729e-05	5.48363e-05
191	2.31266e-05	5.48363e-05
192	2.21729e-05	5.48363e-05
193	2.31266e-05	5.60284e-05
194	2.31266e-05	5.60284e-05
195	2.5034e-05	5.57899e-05
196	2.88486e-05	5.6982e-05
197	2.31266e-05	5.6982e-05
198	2.28882e-05	5.88894e-05
199	2.31266e-05	5.6982e-05
200	2.28882e-05	5.6982e-05
201	2.38419e-05	5.81741e-05
202	2.38419e-05	5.91278e-05
203	2.69413e-05	5.88894e-05
204	2.38419e-05	6.00815e-05
205	2.40803e-05	5.98431e-05
206	2.40803e-05	6.29425e-05
207	2.5034e-05	7.29561e-05
208	3.09944e-05	0.000110149
209	2.90871e-05	6.10352e-05
210	2.5034e-05	6.10352e-05
211	2.47955e-05	6.07967e-05
212	2.47955e-05	6.22272e-05
213	2.6226e-05	6.19888e-05
214	2.59876e-05	6.69956e-05
215	2.5034e-05	6.29425e-05
216	2.59876e-05	6.29425e-05
217	2.59876e-05	9.41753e-05
218	2.69413e-05	6.38962e-05
219	2.59876e-05	6.38962e-05
220	2.59876e-05	6.50883e-05
221	2.69413e-05	6.50883e-05
222	2.59876e-05	6.79493e-05
223	2.71797e-05	6.79493e-05
224	2.69413e-05	6.60419e-05
225	2.71797e-05	6.58035e-05
226	2.71797e-05	6.69956e-05
227	3.29018e-05	6.69956e-05
228	2.7895e-05	6.79493e-05
229	2.81334e-05	6.79493e-05
230	2.7895e-05	7.10487e-05
231	2.81334e-05	7.20024e-05
232	2.7895e-05	6.91414e-05
233	2.7895e-05	7.00951e-05
234	2.7895e-05	6.98566e-05
235	2.81334e-05	6.98566e-05
236	2.90871e-05	8.10623e-05
237	2.81334e-05	7.10487e-05
238	2.7895e-05	7.39098e-05
239	2.90871e-05	7.20024e-05
240	3.00407e-05	7.48634e-05
241	3.00407e-05	7.29561e-05
242	2.90871e-05	7.29561e-05
243	2.90871e-05	7.39098e-05
244	2.90871e-05	7.29561e-05
245	2.90871e-05	8.01086e-05
246	2.90871e-05	7.79629e-05
247	3.00407e-05	7.51019e-05
248	3.09944e-05	7.79629e-05
249	3.00407e-05	7.60555e-05
250	3.09944e-05	7.60555e-05
251	3.09944e-05	7.58171e-05
252	3.00407e-05	7.58171e-05
253	3.09944e-05	7.82013e-05
254	3.09944e-05	8.79765e-05
255	3.09944e-05	7.89165e-05
256	3.09944e-05	7.79629e-05
257	3.09944e-05	8.2016e-05
258	3.09944e-05	7.9155e-05
259	3.09944e-05	7.98702e-05
260	3.21865e-05	7.98702e-05
261	3.21865e-05	7.98702e-05
262	3.09944e-05	8.60691e-05
263	3.21865e-05	8.2016e-05
264	3.19481e-05	8.2016e-05
265	3.21865e-05	8.39233e-05
266	3.21865e-05	8.29697e-05
267	3.29018e-05	8.29697e-05
