Count	Strategy	Format	Time
10	First	Unsorted	2.00272e-05
100	First	Unsorted	0.000315189
200	First	Unsorted	0.000636101
300	First	Unsorted	0.000967026
400	First	Unsorted	0.00136995
500	First	Unsorted	0.00158596
600	First	Unsorted	0.00226998
700	First	Unsorted	0.00219393
800	First	Unsorted	0.00279117
900	First	Unsorted	0.00296688
1000	First	Unsorted	0.00365686
2000	First	Unsorted	0.00796199
3000	First	Unsorted	0.0118921
4000	First	Unsorted	0.0157192
5000	First	Unsorted	0.0202911
6000	First	Unsorted	0.0250561
7000	First	Unsorted	0.0310249
8000	First	Unsorted	0.033514
9000	First	Unsorted	0.0398428
10000	First	Unsorted	0.043195
10*	First	Sorted	3.19481e-05
100*	First	Sorted	0.00134301
200*	First	Sorted	0.00458193
300*	First	Sorted	0.010479
400*	First	Sorted	0.0180161
500*	First	Sorted	0.0284009
600*	First	Sorted	0.0395989
700*	First	Sorted	0.0540309
800*	First	Sorted	0.0691831
900*	First	Sorted	0.088644
1000*	First	Sorted	0.107142
2000*	First	Sorted	0.43418
3000*	First	Sorted	0.946405
4000*	First	Sorted	1.68116
5000*	First	Sorted	2.66803
6000*	First	Sorted	3.95989
7000*	First	Sorted	5.06046
8000*	First	Sorted	6.87604
9000*	First	Sorted	8.59822
10000*	First	Sorted	10.4314
10	Last	Unsorted	2.31266e-05
100	Last	Unsorted	0.000272989
200	Last	Unsorted	0.000571966
300	Last	Unsorted	0.000821829
400	Last	Unsorted	0.00123906
500	Last	Unsorted	0.00159287
600	Last	Unsorted	0.001827
700	Last	Unsorted	0.00222182
800	Last	Unsorted	0.00291491
900	Last	Unsorted	0.00307894
1000	Last	Unsorted	0.00330806
2000	Last	Unsorted	0.00809789
3000	Last	Unsorted	0.0111051
4000	Last	Unsorted	0.0156209
5000	Last	Unsorted	0.02018
6000	Last	Unsorted	0.0242341
7000	Last	Unsorted	0.0278671
8000	Last	Unsorted	0.0331879
9000	Last	Unsorted	0.0378101
10000	Last	Unsorted	0.043612
10*	Last	Sorted	2.90871e-05
100*	Last	Sorted	0.00101399
200*	Last	Sorted	0.00378489
300*	Last	Sorted	0.0086062
400*	Last	Sorted	0.0144148
500*	Last	Sorted	0.0216951
600*	Last	Sorted	0.030827
700*	Last	Sorted	0.041898
800*	Last	Sorted	0.054198
900*	Last	Sorted	0.0701399
1000*	Last	Sorted	0.0838461
2000*	Last	Sorted	0.344218
3000*	Last	Sorted	0.770189
4000*	Last	Sorted	1.4336
5000*	Last	Sorted	2.14788
6000*	Last	Sorted	3.0978
7000*	Last	Sorted	4.21695
8000*	Last	Sorted	5.72439
9000*	Last	Sorted	7.01017
10000*	Last	Sorted	8.85166
10	Middle	Unsorted	2.81334e-05
100	Middle	Unsorted	0.000282049
200	Middle	Unsorted	0.000596046
300	Middle	Unsorted	0.000961065
400	Middle	Unsorted	0.00129414
500	Middle	Unsorted	0.00162983
600	Middle	Unsorted	0.00196195
700	Middle	Unsorted	0.00243902
800	Middle	Unsorted	0.00285292
900	Middle	Unsorted	0.00336003
1000	Middle	Unsorted	0.00366497
2000	Middle	Unsorted	0.00788093
3000	Middle	Unsorted	0.0137901
4000	Middle	Unsorted	0.015806
5000	Middle	Unsorted	0.0209129
6000	Middle	Unsorted	0.0262821
